Column Name,Data Type in Teradata Base Tables,Data Type in Teradata View,Data Type in Kafka Connect,Data Type in Materialize Server,Data Type in PostgreSQL Bridge DB,Data Type in Hasura GraphQL
CLM_TYPE_GRP_DESC,varchar(16) character set latin not casespecific,VARCHAR(16) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(16),String
LOAD_DT,date format 'yyyy-mm-dd',CHAR(10) ,string,Date,date,String
PRVDR_CLM_TYPE_MAX_LOAD_DT,date format 'yyyy-mm-dd',CHAR(10) ,string,Date,date,String
CLM_BLG_PRVDR_NPI_NUM,varchar(10) character set latin not casespecific,VARCHAR(10) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(10),String
CLM_BLG_CCN_NUM,varchar(10) character set latin not casespecific,VARCHAR(10) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(10),String
CLM_BLG_PTAN_NUM,varchar(10) character set latin not casespecific,VARCHAR(10) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(10),String
CLM_SBMT_CHRG_LST7_DAY_AMT,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
CLM_PMT_LST7_DAY_AMT,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
CLM_SBMT_CHRG_LST30_DAY_AMT,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
CLM_PMT_LST30_DAY_AMT,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
CLM_SBMT_CHRG_LST120_DAY_AMT,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
CLM_PMT_LST120_DAY_AMT,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
CLM_SBMT_CHRG_LST180_DAY_AMT,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
CLM_PMT_LST180_DAY_AMT,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
CLM_SBMT_CHRG_YTD_AMT,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
CLM_PMT_YTD_AMT,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
CLM_SBMT_ONE_YR_AMT,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
CLM_PMT_ONE_YR_AMT,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
CLM_SBMT_LAST_YR_AMT,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
CLM_PMT_LAST_YR_AMT,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
CLM_SBMT_CHRG_24MON_AMT,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
CLM_PMT_24MON_AMT,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
CLM_SBMT_CHRG_36MON_AMT,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
CLM_PMT_36MON_AMT,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
CLM_SBMT_CHRG_3YTD_AMT,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
CLM_PMT_3YTD_AMT,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
LTST_CLM_FROM_DT,date format 'yyyy-mm-dd',CHAR(10) ,string,Date,date,String
LTST_CLM_SUBMSN_DT,date format 'yyyy-mm-dd',CHAR(10) ,string,Date,date,String
LTST_CLM_PD_DT,date format 'yyyy-mm-dd'),CHAR(10) ,string,Date,date,String
OPI_LOAD_TS,timestamp(6),TIMESTAMP(6),"""type"": ""int64"", ""name"": ""org.apache.kafka.connect.data.Timestamp""",float,timestamp,String
